COD_CLIENTE;DATA_CADASTRO;DATA_NASCIMENTO;CELULAR_VALIDO;E_MAIL_VALIDO;OPT_OUT;Idade;Faixa_Idade;DATA_PRIMEIRA_COMPRA;DIAS_ATE_1A_COMPRA
36501139;12/04/2025;15/10/1998;Não;Sim;Não;26;21 a 30;12/04/2025;0
39271303;17/02/2024;13/05/1991;Não;Sim;Não;34;31 a 40;09/02/2025;358
39431954;07/04/2024;20/09/1991;Não;Sim;Não;33;31 a 40;06/01/2025;274
40154450;19/11/2024;23/04/1989;Não;Sim;Não;36;31 a 40;11/01/2025;53
39763574;19/07/2024;16/11/1990;Não;Sim;Não;34;31 a 40;20/01/2025;185
39526311;08/05/2024;07/03/2007;Não;Sim;Não;18;<=20;09/01/2025;246
40383720;30/01/2025;24/02/1957;Não;Sim;Não;68;>=51;30/01/2025;0
39125989;05/01/2024;16/06/2000;Não;Sim;Não;25;21 a 30;27/02/2025;419
39757470;18/07/2024;22/05/1981;Não;Sim;Não;44;41 a 50;14/01/2025;180
40206122;02/12/2024;05/06/1982;Não;Sim;Não;43;41 a 50;31/01/2025;60
40350866;18/01/2025;03/12/2002;Não;Sim;Sim;22;21 a 30;23/01/2025;5
40513550;03/03/2025;02/06/2006;Não;Sim;Não;19;<=20;03/03/2025;0
40249766;21/02/2025;21/10/1993;Não;Sim;Não;31;31 a 40;21/02/2025;0
40322274;08/01/2025;02/08/1970;Não;Sim;Não;54;>=51;08/01/2025;0
39277867;18/02/2024;20/03/1998;Não;Sim;Não;27;21 a 30;09/02/2025;357
39786036;25/07/2024;18/12/1997;Não;Sim;Sim;27;21 a 30;25/02/2025;215
39798906;05/10/2024;01/03/1992;Não;Sim;Não;33;31 a 40;08/02/2025;126
39344188;10/03/2024;10/07/1988;Não;Sim;Não;36;31 a 40;14/03/2025;369
40304461;02/01/2025;05/01/1983;Não;Sim;Não;42;41 a 50;02/01/2025;0
39333715;07/03/2024;26/07/1994;Não;Sim;Sim;30;21 a 30;09/02/2025;339
37216074;04/02/2025;06/09/1968;Não;Sim;Não;56;>=51;04/02/2025;0
39630568;08/06/2024;11/09/2001;Não;Sim;Não;23;21 a 30;30/01/2025;236
40093788;25/11/2024;07/09/1993;Não;Sim;Não;31;31 a 40;23/02/2025;90
39867453;19/08/2024;10/05/1988;Não;Sim;Sim;37;31 a 40;15/01/2025;149
39035045;09/08/2024;24/01/2004;Não;Sim;Sim;21;21 a 30;23/01/2025;167
39934173;09/09/2024;11/04/1983;Não;Sim;Sim;42;41 a 50;04/02/2025;148
39846187;06/09/2024;11/08/1986;Não;Sim;Não;38;31 a 40;05/01/2025;121
39392581;28/03/2024;29/03/2002;Não;Sim;Sim;23;21 a 30;09/01/2025;287
40151955;19/11/2024;02/07/1993;Não;Sim;Não;31;31 a 40;18/01/2025;60
40140335;16/11/2024;08/01/1997;Não;Sim;Não;28;21 a 30;12/01/2025;57
39433361;07/04/2024;11/05/1978;Não;Sim;Sim;47;41 a 50;06/03/2025;333
40497371;03/03/2024;09/11/1981;Não;Sim;Não;43;41 a 50;15/01/2025;318
39729665;20/11/2024;17/11/2000;Não;Sim;Não;24;21 a 30;04/03/2025;104
39501419;02/05/2024;24/10/1991;Não;Sim;Não;33;31 a 40;09/01/2025;252
39179234;20/01/2024;08/11/1979;Não;Sim;Sim;45;41 a 50;09/03/2025;414
39380854;22/03/2024;30/10/2007;Não;Sim;Não;17;<=20;08/02/2025;323
40297846;30/12/2024;03/09/1974;Não;Sim;Não;50;41 a 50;07/01/2025;8
39262296;14/02/2024;19/08/1982;Não;Sim;Não;42;41 a 50;18/01/2025;339
39842405;13/08/2024;22/12/1983;Não;Sim;Sim;41;41 a 50;29/01/2025;169
39644227;13/06/2024;15/11/1989;Não;Sim;Não;35;31 a 40;05/01/2025;206
40464370;26/01/2024;04/11/1946;Não;Sim;Não;78;>=51;28/01/2025;368
40356458;19/01/2025;24/10/1985;Não;Sim;Não;39;31 a 40;19/01/2025;0
39258876;13/02/2024;02/08/1995;Não;Sim;Não;29;21 a 30;21/03/2025;402
40379044;28/01/2025;15/10/1983;Não;Sim;Sim;41;41 a 50;28/01/2025;0
39132085;07/01/2024;26/09/1977;Não;Sim;Não;47;41 a 50;02/01/2025;361
40602707;14/03/2025;05/05/1998;Não;Sim;Não;27;21 a 30;15/03/2025;1
37354332;07/04/2025;09/05/1988;Não;Sim;Não;37;31 a 40;07/04/2025;0
39180964;20/11/2024;10/03/1977;Não;Sim;Não;48;41 a 50;08/03/2025;108
37641194;01/02/2025;22/10/1992;Não;Sim;Não;32;31 a 40;13/02/2025;12
39918304;05/09/2024;02/06/1979;Não;Sim;Não;46;41 a 50;04/02/2025;152
39398107;27/03/2024;04/02/2000;Não;Sim;Não;25;21 a 30;30/01/2025;309
39192455;25/01/2024;22/06/1979;Não;Sim;Não;46;41 a 50;12/04/2025;443
39434435;21/08/2024;22/11/1976;Não;Sim;Não;48;41 a 50;07/02/2025;170
40381653;29/01/2025;02/08/1994;Não;Sim;Não;30;21 a 30;29/01/2025;0
40371088;25/01/2025;24/07/1976;Não;Sim;Não;48;41 a 50;25/01/2025;0
40424004;12/02/2025;04/01/1959;Não;Sim;Não;66;>=51;12/02/2025;0
39641924;11/06/2024;26/12/1999;Não;Sim;Não;25;21 a 30;07/01/2025;210
39702100;10/08/2024;16/07/1989;Não;Sim;Não;35;31 a 40;20/03/2025;222
39026609;06/03/2025;23/11/2001;Não;Sim;Não;23;21 a 30;06/03/2025;0
39616595;04/06/2024;16/08/1976;Não;Sim;Não;48;41 a 50;15/01/2025;225
39354283;14/03/2024;17/05/1977;Não;Sim;Não;48;41 a 50;06/01/2025;298
40347278;16/01/2025;06/06/1951;Não;Sim;Não;74;>=51;16/01/2025;0
39623994;06/06/2024;12/10/1993;Não;Sim;Não;31;31 a 40;08/02/2025;247
39671645;21/06/2024;18/06/2006;Não;Sim;Não;19;<=20;05/04/2025;288
40112276;08/11/2024;11/03/2000;Não;Sim;Não;25;21 a 30;08/02/2025;92
40575474;09/03/2025;14/10/1998;Não;Sim;Não;26;21 a 30;12/03/2025;3
40308285;03/01/2025;20/12/1994;Não;Sim;Não;30;21 a 30;08/01/2025;5
